Comment,Response Id,Response Date
"I am an insurance professional in western North Carolina . The ACA was designed to include Medicaid expansion. Without it, rates for all persons in the state are increasing faster than if Medicaid had been expanded. Couple that with lost affordable health care for these citizens with the oblivious negative effects plus North Carolina tax dollars going unused makes Medicaid expansion a priority. Thank You - Dave Trout",209033,27 Jun 2016 13:35:01
"I work as a behavioral health provider at an FQHC in Henderson County, NC. We serve a great number of uninsured patients who would potentially qualify for Medicaid if it were expanded in our state. In addition, my agency could provide many services that would benefit our patients if more had insurance. PLEASE EXPAND MEDICAID IN NORTH CAROLINA!!!",209037,27 Jun 2016 15:33:00
"The LME system is awful in NC. I have two sons with autism and a daughter with mental illness. My one son has been on the waiting list for CAP/C since 2010. My daughter was seen through a local LME and her mental health treatment was awful. She was placed on a high dosage of drugs and my concerns about her being a zombie were dismissed. After her second inpatient stay in a behavioral health hospital, she was fortunate to be able to receive services from Wake Forest Baptist Health Behavioral Health. She has a better, but not perfect outcome. She is still seeing a therapist that resides in the DSS system, but I think she is in need of something between weekly therapy and hospitalization. There seems to be nothing.
My sons with autism get no treatment from the Medicaid system. I did, while I could afford it, send them to a group therapy type setting once a week at a local non-profit. My older son fell into a gap between younger kids and older teens. He stopped going for that reason. My other son did not seem to benefit much. He would benefit from individual assistance, but he lost his IEP due to not acting autistic enough for his teachers. I suppose they only understand autism through movies like Rain Man.
Switching to a system that rewards medical professionals for providing less services to increase their bottom line is a horrible idea. It is already difficult to have busy providers listen to the underlying issues of children's problems, without knowing that ignoring my child's maladies contribute to the bottom line. Not saying all providers would do this, but when you have an elusive diagnosis, like autism can be, it would be easier to just ignore symptoms of higher functional autistic children. The same for children with anxiety disorders.",209041,27 Jun 2016 20:51:14
"Medical care of low income people is complicated in many ways for the doctors, nurses, and PA's that care for them. Minimizing the complications of the system of care is essential in order to allow as much attention as possible to be given to the care of the patients.
The proposal submitted by the state of North Carolina would add harmful complexity, like all other multiple insurer situations that I am aware of.

I believe that if you review the performance of our current system, Community Care of North Carolina, you will find that it performs so well that there is no reason to launch alternative demonstration experiments. CCNC is a national model, being able to document savings of $1B from 2007-2010 (Millman Inc report Dec 2011), and receiving the Hearst Health Prize from the Jefferson College of Population Health in March of 2016. It has grown organically and deliberatively from a Wilson County project developed by a community-minded physician 25 years ago and has incorporated all appropriate concepts of health information, integration between providers and other community resources, and quality improvement. Designed and managed by providers, it is responsive to the needs of providers and patients.

CCNC has always cared about patients and providers. I doubt that the managed care entities that this proposal would permit would do the same. I believe that intent is a major determinant of outcome.",209045,28 Jun 2016 14:57:19
"As the federal agency enabled to review the NC medicaid reform proposal, I believe that you should make Medicaid Expansion a condition of any reform proposal. People who really need medical assistance should have access to life-saving medical care.",209049,28 Jun 2016 15:28:22
Expand Medicaid in NC! It's just common sense.,209053,29 Jun 2016 09:28:25
This bill/Waiver is completely ludicrous. It ignores and disbands a Nationally recognized Medicaid program in Community Care of North Carolina. CCNC and its 14 statewide networks has proven to be an efficient and cost effective approach to managing Medicaid dollars. It has also increased the access and quality of care that our most vulnerable patients receive. They are a leading example of how to reign in cost and increase quality. The Waiver would strip North Carolina of a program that many other states would love to duplicate. I would ask CMS to reject this waiver as there is no need to fix what is not broken but in fact working quite efficiently. Thank you.,209057,29 Jun 2016 12:01:38
"Thank you for the opportunity to comment on the Medicaid Reform Waiver Application. We are

the largest pediatric group in NC, recognized by NCQA as a Patient Centered Medical Home

with 17 sites serving 64 of 100 counties, with more than 100,000 pediatric visits per year.

Our largest focus with medicaid reform is to maintain/ improve access to care for the children of

North Carolina. With recent medicaid cuts, access to care has been significantly compromised

with many private offices no longer accepting medicaid patients or have had to close down due

to lack of financial sustainability. This in turn has increased the burden on emergency rooms

which is a major contributor to rising healthcare costs. Hence, we urge you to revise provider

reimbursement rates and ensure they are comparable to Medicare rates to ensure access to care.

As a group, our mission is to provide accessible, affordable, quality care. By honoring same day

appointments, walk-ins and extended hour clinic, we have a proven track record in effectively

reducing emergency room visits and hospitalizations. With a focus on quality based care,

practice reimbursement rates should ensure pay for achievable quality performance measures.

We urge you to ensure medicaid reform addresses these key elements assuring access and quality

of care provided to the children of NC.",209061,29 Jun 2016 12:47:38
"it is so important for access and quality patient care in the pediatric community, and this causes concerns about the administrative challenges of having 15 different providers; we strongly belief in the benefits of CCNC; the importance of network adequacy/access to specialists; etc.",209069,30 Jun 2016 07:14:54
please expand medicaid in NC,209073,30 Jun 2016 12:24:34
"I am opposed to reforming North Carolina Medicaid as proposed. The changes appeared as a result of pressures to privatize Medicaid in order to have predictable state budgets. The care of patients under the current non-for-profit system called Community Care of North Carolina (CCNC) received national recognition for innovation in healthcare, and created an infrastructure which is threatened to be dismantled under the new proposal. CCNC proven results include cost savings in the millions of dollars for North Carolina, year after year, in reduced emergency room utilization or hospitalizations. Many of the potential benefits in the proposed change already exist under CCNC. Privatization will result in increased costs to tax payers (federal and state), and line the pockets of for-profit companies not even located in North Carolina. The current CCNC managed care infrastructure is intimately aligned with safety net providers as well. Disruption and reorganization, especially for safety net providers, in a time with concurrent rapid change in healthcare alliances and ACO structures is further distancing our healthcare organizations from the people we serve. Given the difficult political climate, the lack of expansion of Medicaid in North Carolina, the minimal adoption of access to insurances through the exchange (few choices) from the Affordable Care Act, the threat to care of those accessing care through safety net providers is no small concern. If the vision for the future of North Carolina Medicaid as proposed were driven by the best quality of care for the citizens of North Carolina, then I would support it. Innovation and competition could benefit our state and reduce costs to tax payers. This proposal is politically motivated and shameful. It doesn't have to be inevitable, if Federal-level decision makers have the authority and will to block it.",209077,30 Jun 2016 14:08:47
"I feel Medicaid should be available to individuals who are in need of a service regardless of their age, race or if their income is higher than poverty level. I personally make this comment because I work at a low salary but when I had cancer, I could not afford the copays, deductibles and the medication I had to buy out of pocket. Four years later, I am still paying for hospital bills associated with the cancer. I was more fortunate than most, but at that particular time all I could think was if I could just get a little help get over the hump. It has created a hardship for myself. It makes you feel like you can not go for tests because you adding one more bill. There should be a way for all people to benefit when there is a need. There should also be a way to prevent the fraud of these programs. Most of the fraud comes from people not seeing a regular doctor especially children. There seems to be a stigma of who cares about going to the doctor when we can just go to the ER. I can not afford the ER and people have the attitude to for symptoms associated with STDs, to find out they are pregnant, etc. Most of these can be treated at a doctor rather than an ER.",209081,1 Jul 2016 08:42:41
"I am a primary care pediatrician practicing in a private practice in a rural part of North Carolina. I have significant concerns that the Medicaid reform proposal will hurt an already successful program

ACCESS
Complexity may reduce access. With a basic model of 15 different Medicaid insurance companies (PHP – Prepaid Health Plans), complexity is inherent in the design. Complexity would likely reduce access to care not just for children insured through Medicaid and Health Choice, but all children, especially in rural areas. (For example, if practices close rather than make all the changes needed to participate with PHPs; if providers spend more time on paperwork and less time on patient care; if pediatricians chose to retire rather than deal with all the new and multiple requirements, etc.)

Payment structure may reduce access and quality of care. Higher percentages of payment going to PHP means less money for health care for children. A survey of NC pediatricians by NCPeds in March 2015 found that recent cuts (relating to loss of the ACA bump plus state changes) led practices to limit the number of Medicaid patients and that additional cuts would likely lead to limits on seeing Medicaid patients (46%), staff lay-offs (31%), practice closures (8%), and retiring earlier than planned (17%). If there are fewer practitioners or practices, all children in the area will lose access to care, not just those with public health insurance.

Networks may not have adequate access to pediatric providers, especially specialists. There are only a handful of pediatric specialists, such as urologists, in the state. It is unclear how access to needed specialists for children will be assured. Adult specialists who also see children (such as ENTs) may not want to deal with increased hassle of multiple different Medicaid plans for low payment on a handful of children.

LOSS OF CCNC
CCNC provides important benefits for child health. CCNC has a proven effective strategy to improve care while reducing cost. While DHHS clearly intends to keep many of the elements of CCNC, CCNC itself will go away. Instead of one care manager and one set of metrics, practices may have to deal with five (or more depending on their region). The state will lose the focus, improved quality and reduced cost that CCNC has been able to achieve. Practices could become frustrated and scattered as a different PHP comes in with a different area of focus, different QI initiatives, etc.",209085,1 Jul 2016 12:03:43
,209089,1 Jul 2016 13:10:10
"With decades of experience, I fear and suspect reorganization of Medicaid services to children will be detrimental to patients and providers/ quality of care and economics. North Carolina since the 1970s had evolved to become an enviable system of health care delivery to children with organizational and funding success. Importantly, physical driven initiatives had brought expanded enrollment of children with ever expanding cost saving strategies--all driven its the conceptual goal that more savings resultant from unified provider support would be turned to generate and fund services to more children. The millions of savings did not go to providers, vendors or organizational entities. CCNC was our award winning consistent tool to bring much of this success.

Being a solo provider, I am aware that bureaucratic , organizational layers added will have continuous pressure to diminish reimbursement to providers and divert segments of value to any entity placed between layers of organization. Cost containment in such a way diverts a significant portion of value away from reinforcing re-imbursement for quality care. This is cost containment tool dressed as an effort to improve care. With the best of intention(I am unsure this is the case) and appropriately focused entities, this will take decades to become effective--yet impositions of structural changes will come forth in abundance.

With a system that diminishes reimbursement while it imposes layers of administrative demands, solo and small practices will struggle. I believe the CCNC model from its early years is the best model for child advocacy in North Carolina. Politically driven changes have a poor track record with which to challenge CCNC success. The NC Pediatric Society and its members have long been committed to our state's children. Why do we seek to kill off a proven great success?",209093,1 Jul 2016 13:14:00
Patient should be given the option of using retail clinics and urgent care centers when their PCP office is not open. A lot of money could be saved if patient did not have to go to the Emergency Room.,209097,1 Jul 2016 17:55:33
"I have been a provider of pediatric general primary care in a moderate sized community in central North Carolina for the past 17 years. I have appreciated working with the physician lead entity call Community Care of North Carolina for these years to help reduce the cost of quality medicaid services for pateints in North Carolina. We have been a model for other states in keeping costs down, I strongly oppose the proposed waiver to CMS to change the NC Medicaid program to a managed care organization model from the current fee for service model. I predict that these changes will result in profits for third party insurers at the expense of primary care providers, resulting in far fewer primary care providers willing to see Medicaid patients. Our practice is the largest provider of Pediatric primary care in our service area of over 250,000 people. We will very likely be forced to drastically reduce our Medicaid insured numbers if our reinbursements are reduced as I predict under this model. We will be forced into a higher degree of administrative paperwork dealing with multiple Medicaid HMOs, increasing our costs to continue to see these patients. I strongly urge CMS to reject this proposed change and continue to allow North Carolina to provide high quality and cost effective pediatrics care for our children under Medicaid and the CCNC. If nothing else, please exclude children 18 and under from these proposed changes.
David Mertz, MD, FAAP
Burlington Pediatrics
Burlington, NC
336-228-8316",209101,2 Jul 2016 17:32:36
"Recent article that 50% of prisons are filled with individuals with mental health issues. Primary care pediatricians are NOT receiving extra help in training and in compensation for caring for these kids prior to getting into trouble. 70% of those not graduating from High school will get arrested; 70% of African Americans will be arrested! Find a way to compensate those practices, like my own, that employee at our own dollar, trained educators and trained health providers to provide mental health and ADHD services, cover learning disabilities, and look at the entire family dynamics. The cost savings is tremendous. For a $2 million investment I have proven that I can save the state of NC over $400 million over 10 years! James M Poole, MD FAAP",209105,3 Jul 2016 14:27:47
"1. I would love to see some ""out the box"" thinking when it comes to the integration of behavioral health care and primary care.

2. As a behavioral health provider and owner of group practice, it would be wonderful if the MCO's would """"allow"""" me to contract with physicians and place skilled licensed behavioral health providers in the physicians office to do behavioral health assessments, emergency counseling, EAP type referral counseling, etc. However, that would mean they would have to allow the group practice to ""add a location"" - the physician's office.
That has not been allowed since soon after the MCO.s took over (about 3 years ago?) One can't grow the behavioral health group practice with medicaid, because additional offices can not be utilized - that is ""adding a location"" and is rejected.
I am hoping that someone gets creative to make this integration work well!",209109,3 Jul 2016 16:48:38
"Please maintain the diverse set of providers particularly the Enhanced Registered Role Nurse. Public Health Departments have been able to provide affordable accessible care to vulnerable populations.

Also, Please insist that the MCOs and the PLE utilize the ""Impactable Score"" developed and implemented by CCNC. It's unique and enables a Medicaid care management system to be efficient and effective.",209113,3 Jul 2016 16:55:30
"I am requesting FULL MEDICAID EXPANSION as the ACA was intended. Low income North Carolinians who fall in the Medicaid gap are dying every day due to the political interests of Republicans. When elected, they vowed to protect the interests of NC citizens and for 4 years they have been violating their vows. The health and lives of NC citizens should be their top priority, not their political opposition to the ACA. Thanks for the opportunity to comment on this critical issue.",209117,4 Jul 2016 20:55:13
I support the continuation of MCOs as state-run entities under the direction of DMA and DHHS and not the privatization of these entities under the control of or absorption by private insurance companies.,209121,5 Jul 2016 09:10:16
It is critically important that we support efforts to address social determinants of health. Putting our largest funding mechanism for healthcare services to work to address complex social issues that drive population health is critical to our overall success as a state and as a country. Please support inclusion of flexible services and approaches in our demonstration waiver.,209125,5 Jul 2016 11:56:55
"I have serious reservations about this waiver generally because everything that has been wrong with the Medicaid system can be fixed with stronger over site. What seems to be missing is it looks like an attempt to privatize Medicaid and to not expand Medicaid. I have listen to providers they have great reservation about these proposed changes along with hundreds that work with the Medicaid population and most importantly the patients that this will effect in a negative way are not being taken into consideration. It appears the recipients will be taking the fall for gross negligence by DHHS how many times has the Federal Administration of DHHS had to literally slap NC hands over the mess and poor operation of the current system. There are patients now that are not receiving adequate healthcare and this will make that worst. I understand that they will be given a choice between HMO's and if they do not then one will be chosen for them, but look at the demographics of this population many or most do not have the literacy or the means to make that type of decision. What they need is access to healthcare and an increase in the number of providers. Providers that are not saddled with getting permission from a HMO who by their very essence look at cost and delay or deny more service and take the decisions away from providers. . There is a proven system with CCNC that has saved the Medicaid system millions of dollars why would you dismantle a model that has proven to work and in fact other states have modeled a system similar because of the cost savings. This seems more political than it does to improve the healthcare of Medicaid recipients. Why is the question? In conclusion there is much that needs to be reviewed and looked at but to throw the baby out with the bathwater is foolish. Please consider the impact this will have on the recipients rather than trying to except responsibility for bad over site . Keep what has been working and correct the problems that have been well documented . Expand Medicaid please too many in the state have fallen permanently it looks like into a hole with no way out and yes there are those that die r/t no access to healthcare in a country as rich as this this is nothing to be proud of . The exchanges are working and the cost of healthcare will continue to go down when people have access.",209129,5 Jul 2016 18:30:53
"I urge the state to expand Medicaid in every county in North Carolina.

Hundreds of thousand of people will not have health insurance, and thus not have access to preventative and continuing health care, if we don't.

Thousands of people will continue to die each year unnecessarily and preventably if we don't, because Medicaid expansion is a matter of life and death. A 2012 study from the Harvard School of Public Health found that expanding Medicaid by 500,000 enrollees is associated with 2,840 fewer deaths each year. This is the number of people estimated to enroll if North Carolina expanded Medicaid. A 2014 study in Health Affairs noted that if the expansion population is healthier than expected we may see between 455 and 1,145 fewer deaths each year after expansion.

Thousands of people will lose jobs, and will not get new jobs that are there for the asking, if we don't. A 2014 report from the Center for Health Policy Research at The George Washington University, with partners Cone Health Foundation and Kate B Reynolds Charitable Trust (available at www.ncmedicaidexpansion.com) shows that North Carolina could gain $21 billion in federal tax revenue statewide, create 43,000 jobs, and generate $161 million in new county tax revenue between 2016 and 2020 if the state closes the coverage gap.

Not expanding Medicaid is an extreme example of ideological devastation, in a legislative session characterized by ideological devastation. It costs nothing to do, and the failure to do it means over 300,000 people do not have health insurance, do not have access to preventative and ongoing health care, that thousands of people will die, and thousands of people will lose jobs and do not get jobs that are there for the asking, all for some misguided ideological excuse.

Have humanity, be human, do it.

Thank you for considering my view.",209133,5 Jul 2016 18:37:40
"Thank you for the opportunity to comment on North Carolina's Medicaid Reform 1115 Demonstration. North Carolina has proposed a major change to the delivery of Medicaid in our state. One of the goals of the waiver is to connect children and families to better health. While we appreciate the extension of eligibility to families in the child welfare system, we remain deeply concerned about the hundreds of thousands of North Carolinians who will remain without access to care under the proposed plan. We urge North Carolina's leaders to expand Medicaid eligibility as permitted by the Affordable Care Act, thus providing essential health care access to more than 300,000 individuals in our state who currently have no other options available to them. They do not fall into an eligible category for Medicaid and they earn too little to qualify for financial assistance in the Health Insurance Marketplace. Here in Mecklenburg County, we have over 32,000 individuals in the coverage gap.1 Left without any options, they must rely on charity, free clinics, and the emergency room for care. Lack of coverage can also result in death. Estimates indicate from 450 to 1,100 North Carolinians die unnecessarily every year because they have no access to care.2
Extending coverage will not only benefit the health of North Carolinians, but also family finances as well as county and state-level economies. In NC, we know that closing the Coverage Gap will help nearly 15,000 families avoid financial stress annually as they are less likely to encounter costly medical bills.3 On the county level, we know that closing the Gap will help 16 rural hospitals keep their doors open.4 Statewide we know that 43,000 jobs would have been created by 2020 if policymakers would have accepted full federal funding to increase all North Carolinians' access to care in 2016.5
· States that have expanded Medicaid have improved financial well-being for new enrollees, leading to fewer unpaid bills. Research estimates that expansion reduced third-party collections by $600 to $1000 per individual in expansion states.8
· Expanded Medicaid has been a common contributor to job growth and positive economic impacts over time through the influx of federal funding, increased state and local business activity, and collected tax revenues.
There is no justification to continue to deny NC Medicaid Expansion!",209137,5 Jul 2016 20:53:45
"Children are a majority of the affected caseload for medicaid reform. CCNC has been very helpful in ensuring that many of these needy children did not fall through the cracks and received necessary mental health and physical services. Providers that take medicaid already have to jump through many hoops. Fragmenting this system further will be devastating for access to care--having multiple medicaid plans will mean that fewer providers continue to offer medicaid. Already there are many issues with access and quality of care for children with medicaid, the area that I am most familiar with is mental health. Unfortunately children living in poverty suffer more frequently adverse life events are are more likely to have mental health care needs. Unfortunately with the fragmentation of the system many child psychiatrists and other providers already aren't taking medicaid or taking a limited number because of low reimbursement. Fragmenting this system and creating multiple types of medicaid will only make this much worse. There is clear data that not only treatment for things such as abuse and resulting Post Traumatic Stress Disorder, anxiety, depression, early onset psychosis can lead to better outcomes in multiple levels. The best part is the providing necessary care to these children actually saves the system lots of money long term and this has been shown in many early intervention trials and specific types of mental health treatment. The savings comes from reduction in hospital costs, reduction in missed work days, reduction in hospitalizations and long term care facilities and juvenile justice and adult criminal justice systems.
If medicaid became more fragmented and there were fewer providers this state would see an immediate cost because of lack of outpatient providers an increase in hospitalizations and long term care placements which are both extremely expensive. Ultimately the best thing for children and the system long term is to keep organizations like CCNC, keep medicaid from further fragmenting and enable outpatient providers to give quality care to the children who most need it.",209141,6 Jul 2016 07:41:22
"As a provider in a pediatric practice that is over 55% medicaid, I strongly feel that fragmenting the current system, deleting the cost effective CCNC program (which has been a model for other states),adding additional layers of administration and bureaucracy, financially squeezing those of us in the ""trenches"" and not addressing more effective and appropriate consumer use of the Medicaid program will lead to a recipe for disaster. We need proactive parent education about managing simple childhood illnesses and appropriate use of ERs and offices - maybe CCNC can work with communities to help teach young parents? If we are unable to have people have any buy in/skin in the game with a small copay to help control costs, what about a consumption tax on tattoos (as there is on cigarettes and alcohol) to help fund the program? In a 2 week observation period, 80% of my Medicaid patients' parents had visible tattoos.....radical idea? I think we need to address the precise problems that those of us diagnosing and treating children and families see, not ideas hatched by non-clinical people who see more administrators as they answer to health care problems.",209145,6 Jul 2016 12:22:33
"I work as an Affordable Care Act (ACA) Health Navigator, and my employer is Partnership for Community Care, one of the CNNC networks in North Carolina. I am disappointed that the NC legislature has opted to focus their energies on undermining a proven cost-effective Medicaid program (the CNNC networks); moreover, their refusal to expand Medicaid has hurt economic opportunity in North Carolina and has prevented the ACA from lifting more people out of poverty and connecting them to care. I urge CMS and any other agencies responsible for reviewing North Carolina's Medicaid Reform Demonstration not to allow this proposal to go forward. Thank you for considering this comment.",209149,6 Jul 2016 12:33:03
"I am a pediatrician who serves many children who have Medicaid insurance. In order to have a viable new system, it must:
1) Be easy to use for healthcare providers and offices: there is a potential that my office will have to work with 15 Medicaid companies under the new plan. We will be unable to conform to all the bureaucracy and different rules for 15 different companies. If this is the case, we will likely be forced to choose 1 or 2 that we are willing to work with. This means we will have to turn away children who are covered by the other companies.
2) Focus on fair Medicaid payments: physicians in NC have already endured payment cuts in 2016, if private companies take a percentage of payments, this means payments for physicians may be cut further. We are businesses, too. We cannot pay our staff, nurses, computers, and rent if payments are cut further.
3) Maintain adequate access to care: there is no clear plan set forth on how the network of specialists, access to therapies and other services will be handled within the new Medicaid health plans.
4) Uphold CCNC: CCNC is the only Medicaid-affiliated organization that I work with that provides positive engagement. The organization has a proven track record of cost savings while working collaboratively with physicians and patients. They are genuinely interested in my feedback and suggestions to improve care for Medicaid patients.
5) Be receptive to the feedback of providers and patients: I am discouraged to see that the extensive feedback from the public that was solicited in the NC DHHS Listening Sessions and forums did not translate into substantive revisions in the current waiver application.",209153,6 Jul 2016 20:13:24
I want my representative to vote for MEDICAID EXPANSION-opening benefits up to more should be a priority. It is a smart choice and it should be a priority for all who represent the good of NC. More people insured means reduced non paying visits to ER and timelier healthcare. I wish to acknowledge the great work CCNC is doing across the state. The idea of public/private partnerships working together to provide cooperative and coordinated care through medical home model is working. The process is proven to be successful saving the state millions/billions of dollars. Why recreate the wheel. Change is good but this is a proven program-lets support it.,209161,7 Jul 2016 15:33:26
"I have been a practicing Pediatrician in Moore county for the past 40yrs. I am dismayed and disgusted over the proposed changes to our current Medicaid reimbursement system. It will place practicing Pediatricians in a position where they have to deal with a variety of payers and thus create an unnecessary beurocratic burden. The majority of Pediatricians in North Carolina are extremely pleased with the current CCNC network and one payer system. This system has been recognized by other states as a model which efficiently cares for the needs of the children covered by Medicaid. Pediatricians across the state have risen to the challenge of reducing medical costs by judiciously prescribing medications and expanding their office hours to accommodate their patients in a medical home. These factors alone have dramatically reduced unnecessary ER visits. Over my years in practice I have taken pride in caring for those children most in need of my services. I fear the newly proposed system will drive providers away from the care of Medicaid patients and that will be a travesty.,",209165,7 Jul 2016 15:44:05
"As a pediatrician who has cared for medicaid patients in North Carolina for the last 20 years, I am extremely worried about the proposed changes. Those changes will take a simple, easy to understand system and replace it with multiple entities, each with different billing, referral, and prescribing rules. The new complexity will put an extreme burden on already stressed primary care practices. The only way for my practice to handle this will be to limit the number of entities we deal with and therefore limit the number of medicaid patients we will be able to see. We are in a rural area, and that will severely limit the options our patients will have. Our current system of community care networks has been a model for the nation and has saved billions since it's inception. The system is known and coverage is simple. We have never had to limit access, and have never been closed to medicaid in the 50 years our practice has existed. That will change under the plan that is proposed. Kids will lose access and will be forced to search for other options. It is a terrible idea.",209169,7 Jul 2016 21:52:47
"The NC waiver proposes to deliver the Medicaid program and most Medicaid recipients to multiple commercial managed care companies and/or to Provider Led Entities that meet health plan fiscal requirements established by the Dept. of Insurance. Community Care of North Carolina has a proven track record in reducing Medicaid utilization and costs. CCNC has built a strong infrastructure of primary care, clinical care management, pharmacy management and information systems. CCNC has the critical community partnerships with social agencies and safety net providers across the entire state to make positive impact on the health of complex Medicaid patients. CCNC's role needs to be expanded (not reduced, as the waiver proposes). CCNC should have more authority and be provided with the same tools that are given to commercial managed care companies to continue to be a national model for managing the care of Medicaid patients.",209177,8 Jul 2016 09:41:21
Expand Medicaid so those who have real needs can receive care. Open your eyes and look at ALL North Carolinians!,209181,8 Jul 2016 12:28:11
"Hi I am a patient under Medicaid, I was switched to Carolina access Medicaid. I was with my obgyn for 15yrs, she only takes Medicaid, she said because Carolina Access paper work billing kept messing up. I never agreed to switch, I don't want to switch Drs. Can I get my regular Medicaid back? They said nothing would change in a report I read, That was not true, some Drs. will not take Carolina Access Medicaid and you have to start the Dr. search all over again. :(:( Guilford Co.",209185,8 Jul 2016 14:38:07
